FullName,FirstName,LastName,Gender,Status,Region,Ethnicity,Occupation_primary,MaritalStatus,Spouse_FirstName,Spouse_Last Name,Spouse_Gender,Spouse_RaceEthnicity,Spouse_Birthday,Spouse_Age,Spouse_Occupation,Street,City,State,ZipCode,Religion_Christian,Religion_Muslim,Religion_Jewish,Religion_Hindu,Religion_Buddhist,Religion_Other,Religion_Spiritual,Religion_None,RoleofFaith_primary,RoleofFaith_spouse,Alcohol_Occasional,Alcohol_Responsible,Alcohol_Irresponsible,DrugUse,Marijuana_Occasional,Marijuana_Regular,Cigarettes_Occasional,Cigarettes_Regular,Vaping_Occasional,Vaping_Regular,JobRetentionChallenges,DayOff_primary,DayOff_spouse,FavoritPlace_primary,FavoritePlace_spouse,Personality_primary,Personality_spouse,SocialStyle_Introverted,SocialStyle_Extraverted,SocialStyle_Both,SadnessResponse_primary,SadnessResponse_spouse,AngerResponse_primary,Anger Response_spouse,Continuing Education,Supports_Holidays,Supports_Job,Supports_Parenting,Supports_Medical,Supports_Legal,Supports_Budgeting,Supports_MentalHealth,Supports_Resources,Supports_Social,Multiple_Matches,Match_Housing,Emergency_Housing,CriminalHistory_Arrested,CriminalHistory_Jail,CriminalHistory_CurrentProbation,Children_Pregnant,Children_Custody1,Children_Custodymultiple,Children_Kincare1,Children_Kincaremultiple,Children_Welfare1,Children_Welfaremultiple,Bio_Important,Bio_Difficult,Sexuality_Heterosexual,Sexuality_Homosexual,Sexuality_Bisexual,Gender_Male,Gender_Female,Gender_Transgender,Gender_Non_binary,Latitude ,Logatitude
Amos & Kristina Marcum,Amos,Marcum,Male,Not Moving Forward,4,,Podiatric surgeon,Married,Kristina,,,,10/5/1970,51,Woodworking machine tender,122 Truck Stop Way,Jackson,Georgia,30233,5,3,3,4,5,2,5,3,Unimportant,Inclusive,5,5,0,0,4,4,4,5,3,0,4,Read/Walk,Shop,Event,None,Shy,Adventurous,4,5,3,Listen,Advice,Withdraw,Withdraw,5,4,5,5,4,5,5,1,4,1,,checked,,0,0,1,2,2,5,4,5,3,3,4,5,5,5,0,5,3,1,1,33.205898,-84.058286
Amy Gonzalez,Amy,Gonzalez,Female,Interested,13,,Toolmaker,,,,,,,,,4060 Atlanta Hwy #1220,Loganville,Georgia,30052,5,4,3,4,4,5,4,5,Exclusive,,5,5,1,3,2,4,5,4,3,3,5,Movie/Play,,None,,Shy,,3,4,5,Advice,,Withdraw,,4,2,4,2,4,5,5,5,5,5,checked,checked,,0,0,4,4,3,5,0,5,0,2,2,4,5,5,4,5,5,2,5,33.846936,-83.910928
Amy Rathbun,Amy,Rathbun,Female,Completed Training,4,African American,Conductor,,,,,,,,,10234 Lakeview Pkwy,Villa Rica,Georgia,30180,5,4,3,4,4,4,4,4,Inclusive,,5,4,1,1,1,4,5,4,2,5,5,Movie/Play,,None,,Friendly,,2,3,4,Listen,,Process,,4,4,2,4,5,4,5,4,5,4,,,,5,0,3,4,5,0,4,3,3,2,1,4,2,4,5,5,5,0,0,33.642382,-84.91461
Amy Smith,Amy,Smith,Female,Certified,11,,Bookmobile driver,,,,,,,,,1700 Norman Dr Spc 1056,Valdosta,Georgia,31601,5,4,4,5,3,3,5,5,Exclusive,,5,3,2,0,3,4,4,4,0,4,1,Home,,New,,Adventurous,,5,3,3,Listen,,Process,,4,4,4,4,4,4,5,0,5,5,checked,checked,,4,0,4,1,5,5,2,3,5,3,3,3,5,4,5,4,3,2,5,30.843644,-83.320337
Amy Ward,Amy,Ward,Female,OOS,2,,Prosecutor,Single,,,,,,,,990 Riverside Dr,Gainesville,Georgia,30501,5,4,4,4,5,0,1,0,Exclusive,,5,5,1,2,3,5,5,5,4,1,4,Movie/Play,,None,,Friendly,,1,5,4,Listen,,React,,5,1,4,5,0,5,4,1,4,5,checked,,checked,3,1,1,4,3,5,4,0,3,1,0,0,5,5,5,5,5,3,4,34.31472,-83.826793
Andrea Cleaver,Andrea,Cleaver,Female,Completed Training,14,,Mine safety engineer,,,,,,,,,1232 Fowler Avenue,Roswell,Georgia,30075,5,3,1,4,5,5,3,4,Unimportant,,5,5,1,4,5,1,4,1,3,4,3,Home,,Nature,,Reserved,,4,5,5,Listen,,Process,,3,5,5,4,5,4,5,4,5,4,checked,checked,checked,5,0,4,4,4,1,2,4,5,4,5,5,5,4,1,5,4,1,2,,
Andy & Marion Underwood,Andy,Underwood,Male,Awaiting Training,14,,Human resources associate,Married,Marion,,,,11/27/1981,40,Desk clerk,4450 Hugh Howell Rd #10,Tucker,Georgia,30084,4,5,5,5,5,4,5,4,Inclusive,Exclusive,5,5,5,5,0,3,1,4,4,3,3,Shop,Friends/Family,None,None,Reserved,Friendly,5,4,4,Listen,Alone,Reconcile,Withdraw,4,5,4,4,4,5,5,5,4,4,checked,checked,checked,4,4,5,5,3,2,5,3,5,5,2,4,5,4,5,5,4,2,1,33.850585,-84.205445
Angela Kelley,Angela,Kelley,Female,Awaiting Training,11,,Press relations specialist,Single,,,,,,,,1401 S Hutchinson Ave,Adel,Georgia,31620,5,1,3,5,5,0,4,2,Exclusive,,5,3,0,5,2,0,3,3,4,0,3,Read/Walk,,None,,Reserved,,4,4,5,Listen,,Process,,3,4,5,4,5,5,5,4,3,5,checked,checked,checked,5,0,1,2,5,3,4,4,4,4,4,3,5,4,0,4,5,2,5,31.118937,-83.414779
Angela Miller,Angela,Miller,Female,Completed Training,1,African American,Electrical engineer,Single,,,,,,,,158 Highland Crossing S,Ellijay,Georgia,30540,5,5,3,3,3,5,0,5,Exclusive,,2,5,5,4,1,1,5,5,0,0,3,Shop,,Event,,Friendly,,3,4,3,Advice,,Reconcile,,5,5,3,4,5,4,5,5,3,0,,,checked,3,5,1,0,5,4,5,1,3,2,0,3,5,5,4,4,4,4,4,34.65459,-84.493409
Angela Sprouse,Angela,Sprouse,Female,Interested,13,,Postal Service worker,,,,,,,,,1669 Spring Rd SE,Smyrna,Georgia,30080,5,5,3,4,4,5,5,4,Exclusive,,5,0,0,0,1,4,4,4,1,4,5,Movie/Play,,Event,,Adventurous,,4,5,5,Advice,,Reconcile,,5,5,4,2,5,1,5,2,5,5,checked,,,2,2,3,4,5,4,3,3,0,5,3,5,5,5,1,5,4,4,4,33.882748,-84.50489
Angie Post,Angie,Post,Female,Awaiting Training,4,,ABE teacher,,,,,,,,,202 Riverbend Rd,Thomaston,Georgia,30286,5,3,3,5,4,3,5,4,Unimportant,,5,5,0,4,2,0,3,3,4,4,0,Friends/Family,,Pampered,,Reserved,,3,4,4,Advice,,Withdraw,,5,4,5,4,5,5,5,4,4,5,checked,checked,checked,1,1,3,2,4,2,4,5,0,5,5,3,5,2,4,5,5,3,5,32.838065,-84.419359
Anita Pantoja,Anita,Pantoja,Female,OOS,4,,Airline flight engineer,Single,,,,,,,,117 New Franklin Rd,LaGrange,Georgia,30240,2,3,3,5,3,4,4,4,Unimportant,,5,1,1,2,1,0,4,3,3,3,0,Home,,None,,Friendly,,1,3,4,Listen,,React,,3,4,5,4,4,1,4,5,0,5,,,,4,3,5,5,2,4,0,4,5,2,3,4,5,3,4,5,3,2,1,33.045109,-85.030187
Anna Gomez,Anna,Gomez,Female,Awaiting Training,12,,Grounds maintenance worker,Single,,,,,,,,1947 Commerce Dr,Kingsland,Georgia,31548,5,3,3,0,3,5,1,4,Exclusive,,5,5,1,3,5,0,3,5,0,0,2,Shop,,New,,Shy,,3,5,4,Alone,,Process,,5,0,4,4,5,5,5,4,4,4,checked,checked,checked,2,5,1,2,0,1,5,3,2,5,0,3,5,4,4,5,4,0,5,30.780719,-81.629688
Anna Sledge,Anna,Sledge,Female,Interested,13,,Information security specialist,Single,,,,,,,,4438 Cherokee St,Acworth,Georgia,30101,5,3,1,5,0,1,5,3,Exclusive,,5,4,0,5,2,5,0,5,3,5,3,Friends/Family,,New,,Adventurous,,3,3,5,Advice,,React,,0,4,5,4,4,4,4,5,5,4,,checked,checked,5,5,1,5,4,5,1,3,3,1,5,2,5,4,3,4,5,2,0,34.067436,-84.677368
Anne Hennessey,Anne,Hennessey,Female,Interested,9,,Creative director,,,,,,,,,312 Railroad St,Odum,Georgia,31555,5,3,5,3,3,5,4,5,Exclusive,,5,5,1,0,2,0,5,2,5,5,1,Read/Walk,,New,,Friendly,,4,2,5,Advice,,React,,5,2,4,3,4,5,4,4,4,5,,,,5,1,4,5,0,3,2,5,4,4,0,4,5,4,5,5,4,2,2,31.665459,-82.027708
Anthony & Beth Espinoza,Anthony,Espinoza,Male,Awaiting Training,9,,Portrait photographer,Married,Beth,,,,10/25/1969,52,Graduate teaching assistant,310 N 1st St,Jesup,Georgia,31545,5,5,5,4,4,4,2,3,Inclusive,Unimportant,5,5,0,1,3,5,5,2,2,0,5,Movie/Play,Home,Nature,New,Adventurous,Shy,5,5,1,Listen,Alone,React,React,3,5,5,5,5,4,1,5,4,4,checked,,,0,4,5,2,5,0,4,3,0,3,3,1,5,5,5,5,2,5,2,31.609016,-81.882144
Anthony & Elizabeth Williams,Elizabeth,Williams,Female,Awaiting Training,13,,Encoding clerk,Married,Anthony,,,,8/22/1963,58,Mathematician,880 Indian Trail Lilburn Rd NW,Lilburn,Georgia,30047,5,3,3,5,4,5,5,0,Inclusive,Exclusive,1,4,5,0,0,2,1,3,2,0,4,Movie/Play,Read/Walk,None,Event,Shy,Friendly,3,0,3,Advice,Advice,Process,Reconcile,5,5,4,5,5,5,4,5,3,5,,,checked,0,2,0,2,0,2,5,2,5,0,2,5,1,5,4,4,4,4,0,33.905617,-84.153695
Anthony & Sara Moreno,Sara,Moreno,Female,Interested,1,,Photographic processing machine operator,Married,Anthony,,,,11/2/1988,33,Technical trainer,2936 Lafayette Rd,Fort Oglethorpe,Georgia,30742,5,3,4,5,4,3,3,1,Inclusive,Unimportant,5,5,1,1,3,4,3,4,3,4,2,Friends/Family,Movie/Play,None,New,Solitary,Reserved,5,4,3,Alone,Alone,React,Reconcile,4,4,4,0,4,4,5,4,5,5,checked,,checked,1,0,2,0,3,2,0,2,5,0,4,3,5,1,4,5,4,2,0,34.946534,-85.25918
Anthony Owens & Debbie Simpson,Anthony,Owens,Male,FSS,1,,Manifold binding worker,Married,Debbie,Simpson,,White,12/18/1969,52,Operating engineer,2196 Smithfield Avenue,Canton,Georgia,30114,5,4,3,3,4,3,3,4,Exclusive,Unimportant,5,4,1,4,5,3,3,2,4,3,2,Read/Walk,Movie/Play,Event,Pampered,Adventurous,Shy,5,0,3,Advice,Alone,Reconcile,Reconcile,3,4,4,4,5,5,4,1,4,4,,checked,,1,1,0,0,3,4,5,2,5,2,2,2,5,5,5,4,4,3,5,,
Anthony Rojas,Anthony,Rojas,Male,Interested,12,,Plumbing inspector,,,,,,,,,1380 Boone St,Kingsland,Georgia,31548,5,4,5,2,4,5,5,5,Exclusive,,5,4,0,0,3,4,0,2,4,0,5,Shop,,New,,Friendly,,3,0,1,Alone,,Process,,4,4,0,4,4,4,4,5,1,5,,,,3,3,0,4,4,3,2,3,4,0,5,4,5,5,4,5,4,2,3,30.786771,-81.649295
Anthony Wilson,Anthony,Wilson,Male,Matched_Current,5,,Employment coordinator,Married,,,,,,,,1072 Baxter St,Athens,Georgia,30606,5,3,3,5,3,3,5,4,Inclusive,,5,4,4,1,5,1,1,4,4,4,5,Shop,,Event,,Adventurous,,4,3,3,Advice,,Process,,4,2,4,5,5,4,5,4,5,5,checked,,,1,1,4,3,5,0,1,5,5,3,4,4,5,4,5,4,5,4,0,33.947653,-83.398093
Antonio & Bettie Stewart,Bettie,Stewart,Female,On Hold,4,,Tester,Married,Antonio,,,,3/23/1961,60,Accounts payable clerk,2964 N Expy,Griffin,Georgia,30223,5,3,5,4,3,3,4,2,Inclusive,Exclusive,5,0,5,0,3,4,4,3,5,5,4,Shop,Home,Nature,None,Adventurous,Adventurous,4,5,5,Listen,Advice,Process,React,4,4,5,1,1,5,5,5,4,0,checked,,,5,3,3,4,4,1,4,1,4,3,5,2,5,5,5,5,5,5,4,33.31563,-84.28865
Armando & Jolene Miller,Jolene,Miller,Female,Interested,3,,Mixing and blending machine setter,Married,Armando,,,,6/5/1962,59,Podiatric medical assistant,6077 Fairburn Rd,Douglasville,Georgia,30134,5,5,4,3,5,3,4,3,Inclusive,Inclusive,5,0,1,3,5,3,0,1,4,5,3,Friends/Family,Movie/Play,None,Pampered,Solitary,Adventurous,3,5,3,Advice,Alone,Withdraw,Process,5,4,5,5,4,5,5,3,0,4,,checked,checked,4,1,3,4,4,1,4,4,3,0,1,5,5,5,5,3,5,3,0,33.752642,-84.732069
Armando & Linda Martinez,Armando,Martinez,Male,Not Moving Forward,4,,Weaving machine operator,Married,Linda,,,,11/17/1979,42,Server,1441 US_19,Thomaston,Georgia,30286,5,4,5,5,5,3,4,3,Exclusive,Unimportant,5,5,0,4,1,3,3,3,2,2,1,Read/Walk,Read/Walk,Nature,Event,Reserved,Reserved,4,0,4,Advice,Advice,React,Withdraw,3,4,5,4,4,5,5,1,5,5,,checked,,0,2,4,4,3,3,0,4,5,3,0,1,5,2,5,5,5,1,1,32.934237,-84.334382
Arturo & Nancy Strunk,Arturo,Strunk,Male,Not Moving Forward,11,,Mechanical inspector,Married,Nancy,,,,10/19/1957,64,Dental ceramist,112 S Jefferson St,Nashville,Georgia,31639,5,1,4,4,3,5,3,3,Exclusive,Exclusive,5,4,0,4,1,0,2,1,4,4,3,Read/Walk,Read/Walk,Nature,Event,Friendly,Solitary,4,5,3,Alone,Advice,Withdraw,React,5,4,5,5,4,0,5,4,5,1,checked,,,0,1,5,5,4,0,3,1,4,0,2,4,5,4,5,5,1,5,5,31.198939,-83.2501
Aurora Garrard,Aurora,Garrard,Female,OOS,,,Job service specialist,Single,,,,,,,,435 Loving Acres Road,Athens,Georgia,30605,5,3,2,3,4,3,3,3,Exclusive,,5,4,5,5,3,0,5,2,4,3,3,Home,,None,,Solitary,,4,3,5,Advice,,Reconcile,,4,4,5,5,3,4,4,5,4,4,checked,,,0,0,3,3,3,2,1,5,1,5,3,1,5,3,5,3,4,2,4,,
Barbara Brooks,Barbara,Brooks,Female,Awaiting Training,13,,Allopathic surgeon,Single,,,,,,,,2850 Paces Ferry Rd SE,Atlanta,Georgia,30339,5,4,4,3,3,5,0,4,Unimportant,,3,5,0,1,1,2,4,1,2,0,4,Shop,,Nature,,Friendly,,4,5,5,Listen,,React,,4,4,4,5,5,5,2,4,4,0,,checked,checked,0,2,1,3,5,4,2,4,4,2,0,5,5,4,5,4,4,2,3,33.865491,-84.468823
Barbara Futrell,Barbara,Futrell,Female,Awaiting Training,2,,Music director,Single,,,,,,,,384 Hwy 53 E,Dawsonville,Georgia,30534,5,4,3,0,3,5,5,3,Unimportant,,5,5,5,1,0,4,2,5,5,3,4,Friends/Family,,New,,Reserved,,5,5,4,Alone,,Process,,4,5,4,2,4,4,4,4,5,5,,,,3,1,5,5,1,3,2,5,3,1,4,4,5,5,5,2,2,3,2,34.416457,-84.113867
Barbara Olive,Barbara,Olive,Female,Interested,3,,Landscaping worker,,,,,,,,,5077 Jimmy Lee Smith Pkwy,Hiram,Georgia,30141,5,3,3,3,5,5,5,5,Inclusive,,5,5,3,2,4,0,5,3,0,3,3,Home,,Nature,,Friendly,,3,5,5,Alone,,Withdraw,,5,5,4,2,2,4,5,5,5,5,,checked,,1,1,0,3,3,4,4,2,3,3,3,4,5,1,5,5,4,1,1,33.888732,-84.744084
Barbara Person,Barbara,Person,Female,Interested,8,,Clergy,Single,,,,,,,,922 E Lamar St,Americus,Georgia,31709,5,5,4,5,5,1,4,3,Unimportant,,5,0,5,0,4,5,0,1,1,5,3,Shop,,Pampered,,Friendly,,5,5,4,Alone,,Withdraw,,3,4,5,1,4,0,4,1,4,5,checked,,checked,0,0,5,2,2,5,1,2,4,5,2,3,5,4,4,4,1,1,5,32.07163,-84.221334
Barbara Wolfenbarger,Barbara,Wolfenbarger,Female,Completed Training,4,,Administrative assistant for human resource,,,,,,,,,594 Carrollton Villa Rica Hwy Ste D,Villa Rica,Georgia,30180,5,3,3,4,3,4,5,4,Unimportant,,5,5,1,0,0,2,5,1,0,4,3,Home,,Event,,Solitary,,5,4,5,Alone,,Reconcile,,4,5,5,4,5,5,5,4,5,5,,,checked,1,3,1,3,5,5,5,0,5,4,4,2,1,2,5,4,3,5,1,33.720123,-84.937925
Belinda Bass,Belinda,Bass,Female,Awaiting Training,1,,General practitioner,Single,,,,,,,,475 Howard Simmons Rd,Ellijay,Georgia,30540,5,4,4,4,4,4,3,4,Unimportant,,5,5,1,5,1,5,4,4,5,0,1,Movie/Play,,New,,Friendly,,4,0,5,Advice,,React,,5,5,4,4,4,2,4,4,5,3,checked,checked,checked,1,5,1,5,1,1,5,5,1,3,1,5,3,5,1,5,4,1,5,34.658416,-84.492782
Benjamin & Doreen Wellman,Doreen,Wellman,Female,Matched,13,,Automotive body and related repairer,Married,Benjamin,,,White,10/6/1989,32,Broadcast and sound engineering technician,95 S Peachtree St,Norcross,Georgia,30071,5,4,4,1,1,5,4,4,Inclusive,Inclusive,5,5,1,2,3,0,2,0,5,4,4,Home,Home,Nature,Nature,Solitary,Shy,5,4,0,Listen,Listen,Reconcile,Reconcile,4,4,4,3,4,4,1,5,5,5,,checked,checked,1,5,5,0,4,5,4,5,5,2,2,4,5,5,5,5,2,2,5,33.941064,-84.213367
Benjamin & Susan Walker,Susan,Walker,Female,Matched,1,,Line cook,Married,Benjamin,,,White,5/8/1980,41,Craft artist,2929 US_41,Ringgold,Georgia,30736,5,3,3,5,0,5,3,4,Unimportant,Unimportant,5,5,1,0,5,5,1,4,4,0,3,Shop,Home,Event,Nature,Solitary,Shy,0,4,4,Alone,Advice,Withdraw,Process,3,4,3,5,0,5,4,4,4,4,checked,checked,,0,0,2,4,5,1,3,3,4,3,4,5,5,3,4,4,5,5,0,34.954831,-85.16351
Benjamin & Wanda Ryan,Benjamin,Ryan,Male,Not Moving Forward,,,Mixing and blending machine operator,Married,Wanda,,,,6/17/1980,41,Order processor,2289 Pickens Way,Marietta,Georgia,30064,5,2,3,5,0,4,5,3,Exclusive,Exclusive,5,1,4,5,1,4,5,2,3,5,3,Friends/Family,Movie/Play,Event,Nature,Adventurous,Solitary,5,1,3,Listen,Listen,Withdraw,Withdraw,4,5,5,3,4,5,5,5,4,4,checked,checked,checked,4,0,3,3,4,3,3,4,3,4,2,1,5,5,4,4,5,5,0,,
Bernice Sease,Bernice,Sease,Female,Interested,11,,Paleontologist,,,,,,,,,216 S Court St,Quitman,Georgia,31643,5,4,3,1,5,3,5,5,Exclusive,,5,2,1,0,0,4,4,3,0,5,5,Home,,New,,Shy,,5,4,3,Advice,,React,,5,5,5,0,4,5,4,5,4,4,,,checked,5,1,2,5,5,2,5,5,3,2,3,0,5,0,5,4,5,4,3,30.783759,-83.559687
Bertha Arendt,Bertha,Arendt,Female,Awaiting Training,7,,Milling and planing machine operator,Single,,,,,,,,1282 Broad St,Augusta,Georgia,30901,5,4,3,5,3,5,2,4,Unimportant,,5,5,3,5,5,5,3,5,5,1,1,Friends/Family,,Event,,Solitary,,5,4,3,Listen,,Reconcile,,3,4,4,1,4,4,4,4,5,5,,,,3,5,4,1,3,2,2,1,1,0,3,5,5,5,4,4,0,4,3,33.478062,-81.97481
Beth Hicks,Beth,Hicks,Female,RM Declined,13,,Sound mixer,,,,,,,,,5514 Lawrenceville Hwy Ste A,Lilburn,Georgia,30047,5,5,5,4,4,3,3,1,Unimportant,,5,4,5,5,5,0,5,0,5,1,1,Home,,Pampered,,Adventurous,,3,4,5,Alone,,Process,,5,5,5,1,5,5,5,4,0,5,checked,checked,,0,0,4,1,2,0,4,4,3,2,0,2,5,5,4,5,2,3,0,33.882041,-84.161958
Bette Vetter,Bette,Vetter,Female,Interested,13,,Boat operator,Single,,,,,,,,3366 Cobb Pkwy NW,Acworth,Georgia,30101,5,3,4,5,3,5,3,1,Unimportant,,5,5,0,1,3,0,5,3,4,3,3,Home,,Pampered,,Solitary,,3,3,3,Listen,,Withdraw,,1,4,5,4,5,5,5,2,4,0,checked,,checked,2,0,0,5,5,2,5,4,4,1,5,4,5,5,5,5,4,0,4,34.036776,-84.684154
Betty Diaz,Betty,Diaz,Female,Interested,,,Literary interpreter,Married,,,,,,,,2226 Charla Lane,Savannah,Georgia,31405,5,3,3,4,3,5,4,4,Exclusive,,5,1,4,0,1,5,4,3,4,5,3,Shop,,Pampered,,Adventurous,,5,5,3,Listen,,React,,3,0,5,4,5,5,5,5,4,3,checked,,,0,0,3,3,4,5,0,2,1,3,2,2,5,2,2,4,4,5,5,,
Beulah Long,Beulah,Long,Female,Awaiting Training,13,,Technical education teacher,Single,,,,,,,,688 Whitlock Ave NW,Marietta,Georgia,30064,5,5,4,1,5,4,3,4,Unimportant,,5,4,1,0,3,5,4,2,4,5,0,Read/Walk,,Event,,Friendly,,3,5,0,Alone,,Withdraw,,3,4,5,4,5,4,2,4,4,4,,checked,checked,1,0,3,1,4,2,3,2,4,1,1,2,5,1,5,2,5,5,0,33.952229,-84.572749
