FullName,FirstName,LastName,Street,City,State,ZipCode,Region,Birthday,Age,Race_Ethnicity,Religion,RoleofFaith,AlcoholUse,DrugUse,Smoking,JobRetentionChallenges,DayOff,FavoritePlace,Personality,SocialStyle,SadnessResponse,AngerResponse,EducationLevel,ContinuingEducation,SupportNeeds,LivingSituation,CriminalHistory,Children,Connections,BioRelationships,Sexuality,Gender,BiologicalGender,Latitude ,Logatitude
Ashley Elsberry,Ashley,Elsberry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,
Ashley Hart,Ashley,Hart,301 W Jones St,Savannah,Georgia,31401,12,,,,,,,,,,,,,,,,,,,,,,,,,,Female,32.0167,-81.1167
Barbara Gruver,Barbara,Gruver,62 College St NW,Norcross,Georgia,30071,13,,,,,,,,,,,,,,,,,,,,,,,,,,Female,33.9419,-84.2122
Barbara Hobbs,Barbara,Hobbs,6200 Buford Hwy #1G,Norcross,Georgia,30071,13,,,,,,,,,,,,,,,,,,,,,,,,,,Female,33.9419,-84.2122
Bernard Dudley,Bernard,Dudley,3245 Peachtree Pkwy # I,Suwanee,Georgia,30024,13,,,,,,,,,,,,,,,,,,,,,,,,,,Male,34.0575,-84.0666
Bernice Davenport,Bernice,Davenport,425 Ernest W Barrett Pkwy NW #1090,Kennesaw,Georgia,30144,13,12/2/1992,29,Black/African American,Other,Unimportant,Responsibly,None,"Regular marijuana,Regular cigarettes,Regular vape",,Friends/Family,None,Reserved,Extraverted,Self_Reliant,React,"HS diploma in progress,College degree",,Parenting,Independent,None,None,,None,Heterosexual,Other,Male,34.0233,-84.6153
Betty Burr,Betty,Burr,2013 Jonesboro Rd,McDonough,Georgia,30253,4,,,,,,,,,,,,,,,,,,,,,,,,,,Female,33.447,-84.1464
Betty Llanes,Betty,Llanes,5855 Spout Springs Rd A408,Flowery Branch,Georgia,30542,2,7/20/1993,28,Black/African American,Islam,Exclusive,Occasionally,Occasionally,None,,Shop,Nature,Shy,Both,Listen,React,"HS diploma in progress,College applying",,"Parenting,Resources,Medical",Friend/Family,None,None,,None,Bisexual,Male,Male,34.1858,-83.9244
Bill Crocker,Bill,Crocker,Old Kings Bridge Rd,Nicholson,Georgia,30565,5,,,,,,,,,,,,,,,,,,,,,,,,,,Male,34.1189,-83.4315
Billy Levine,Billy,Levine,7995 Senoia Rd,Fairburn,Georgia,30213,14,4/8/1993,28,,Hinduism,Inclusive,Responsibly,Addicted,None,checked,Movie/Play,Pampered,Reserved,Both,Listen,Reconcile,HS diploma completed,,"Legal,Parenting,Mental Health,Job,Holidays",Couch_Hopping,None,None,,Important,Heterosexual,Female,Female,33.5625,-84.5814
Blanche Alarcon,Blanche,Alarcon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,
Bobby Johnson,Bobby,Johnson,4179 Marietta St,Powder Springs,Georgia,30127,13,,,,,,,,,,,,,,,,,,,,,,,,,,Male,33.8658,-84.6803
Brenda Blodgett,Brenda,Blodgett,3309 New MacLand Rd,Powder Springs,Georgia,30127,13,,,,,,,,,,,,,,,,,,,,,,,,,,Female,33.8658,-84.6803
Brenda McCullum,Brenda,McCullum,10115 US_19,Baconton,Georgia,31716,10,10/14/1992,29,White,Islam,Inclusive,Occasionally,Regularly,None,,Movie/Play,Pampered,Adventurous,Introverted,Advice,Process,HS diploma completed,,"Medical,Holidays,Resources,Social",College,None,None,,Difficult,Heterosexual,Male,Female,31.3761,-84.1614
Brenda Minter,Brenda,Minter,6142 Old Dixie Hwy,Forest Park,Georgia,30297,13,4/21/1993,28,,Judaism,Inclusive,Addicted,Occasionally,"Regular marijuana,Occasional cigarettes",,Read/Walk,New,Shy,Introverted,Self_Reliant,Withdraw,GED in progress,,"Medical,Resources",Couch_Hopping,None,"Caring for multiple,1 in kincare,1 in welfare,Pregnant",,Important,Bisexual,Male,Other,33.6197,-84.3658
Brian Dunn,Brian,Dunn,11346 Tara Blvd,Hampton,Georgia,30228,4,9/21/1992,29,,Judaism,Inclusive,None,Occasionally,None,,Shop,Event,Adventurous,Introverted,Self_Reliant,Reconcile,"GED in progress,Vocational/trade school attending",,"Budgeting,Medical,Mental Health,Social",College,None,Caring for 1,,Important,Homosexual,Male,Other,33.3834,-84.2833
Brian Evans,Brian,Evans,1961 Wrens Hwy,Thomson,Georgia,30824,7,,,,,,,,,,,,,,,,,,,,,,,,,,Male,33.4672,-82.4994
Carlos Beebe,Carlos,Beebe,1425 Market Blvd Suite 1370,Roswell,Georgia,30076,14,,,,,,,,,,,,,,,,,,,,,,,,,,Male,34.0339,-84.3442
Carol Prieto,Carol,Prieto,5953 Joe Frank Harris Pkwy NW,Adairsville,Georgia,30103,3,6/4/1993,28,,Judaism,Unimportant,Responsibly,Addicted,None,,Home,None,Solitary,Introverted,Listen,Reconcile,"HS diploma in progress,College applying",,"Medical,Resources,Parenting",Friend/Family,None,"Caring for multiple,Multiple in kincare",,Important,Bisexual,Male,Female,34.3698,-84.9277
Carrie Williams,Carrie,Williams,5159 Columbia Rd,Grovetown,Georgia,30813,7,6/24/1993,28,,Judaism,Exclusive,None,Addicted,"Occasional marijuana,Occasional cigarettes,Occasional vape",,Shop,None,Adventurous,Introverted,Self_Reliant,Withdraw,HS diploma completed,,"Job,Legal,Medical,Holidays,Social",Friend/Family,None,None,,Difficult,Homosexual,Female,Male,33.4494,-82.1969
Catherine Caudill,Catherine,Caudill,3046 Bankhead Hwy,Austell,Georgia,30168,13,12/30/1992,29,Black/African American,Judaism,Inclusive,Responsibly,None,"Occasional marijuana,Occasional cigarettes,Regular vape",checked,Movie/Play,New,Reserved,Both,Self_Reliant,React,None,,"Job,Budgeting,Holidays",Couch_Hopping,None,None,,Important,Homosexual,Other,Male,33.8132,-84.6347
Chad Richards,Chad,Richards,100 W Walnut Ave,Dalton,Georgia,30720,1,12/30/1992,29,,None,Inclusive,Irresponsibly,Regularly,None,,Home,Nature,Adventurous,Extraverted,Advice,React,"GED completed,College degree",,Social,College,"Current Probation,Jail",None,,Important,Homosexual,Female,Other,34.7715,-84.9718
Chad Sparks,Chad,Sparks,1228 N Westover Blvd,Albany,Georgia,31707,10,9/6/1993,28,Hispanic/Latino (non_white),Spiritual,Inclusive,Responsibly,Addicted,None,checked,Shop,Nature,Solitary,Extraverted,Self_Reliant,Reconcile,GED completed,,Medical,Couch_Hopping,None,None,,Important,Heterosexual,Male,Female,31.5785,-84.1559
Charles Jackson,Charles,Jackson,1 Lake Oconee Trail,Greensboro,Georgia,30642,5,8/14/1993,28,Black/African American,Other,Inclusive,Addicted,None,None,,Friends/Family,Pampered,Shy,Both,Self_Reliant,Withdraw,"GED in progress,Vocational/trade school applying",,"Social,Budgeting,Medical,Parenting",Independent,None,None,,Important,Bisexual,Female,Other,33.5759,-83.1826
Charles Todd,Charles,Todd,3353 Tuton Rd,Baconton,Georgia,31716,10,6/15/1993,28,Unknown,None,Exclusive,None,Occasionally,None,checked,Movie/Play,Pampered,Reserved,Both,Self_Reliant,Reconcile,GED completed,,"Mental Health,Job,Budgeting,Medical",College,None,None,,None,Homosexual,Male,Male,31.3761,-84.1614
Charles Ward,Charles,Ward,4150 Macland Rd Suite 215,Powder Springs,Georgia,30127,13,,,,,,,,,,,,,,,,,,,,,,,,,,Male,33.8658,-84.6803
Charline Brown,Charline,Brown,2 Oak St,Jackson,Georgia,30233,4,5/26/1993,28,,Judaism,Exclusive,Occasionally,Occasionally,None,,Home,New,Solitary,Introverted,Self_Reliant,React,None,,Holidays,College,None,None,,None,Bisexual,Other,Other,33.2936,-83.9625
Charlotte Alfaro,Charlotte,Alfaro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,
Charlotte Sabia,Charlotte,Sabia,1945 Cobb Pkwy NW Building 250,Kennesaw,Georgia,30152,13,5/1/1993,28,Black/African American,Judaism,Inclusive,Responsibly,None,Regular marijuana,,Read/Walk,Event,Solitary,Both,Self_Reliant,React,"GED in progress,Vocational/trade school certified",,"Job,Legal,Holidays,Budgeting",College,Jail,None,,None,Bisexual,Male,Male,34.0233,-84.6153
Cheryl Jolly,Cheryl,Jolly,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,
Christina Samuel,Christina,Samuel,208 Crooked Creek Dr,Eatonton,Georgia,31024,6,1/10/1993,29,,Other,Exclusive,None,Occasionally,"Occasional marijuana,Occasional cigarettes,Occasional vape",,Shop,Nature,Adventurous,Both,Self_Reliant,Process,"GED in progress,Vocational/trade school applying",,"Legal,Job,Holidays",Program,Arrested,None,,Important,Heterosexual,Male,Male,33.3264,-83.3878
Christopher Hurd,Christopher,Hurd,5100 Avalon Blvd,Alpharetta,Georgia,30009,14,6/17/1993,28,,Buddhism,Unimportant,Responsibly,Occasionally,"Occasional marijuana,Regular cigarettes",checked,Read/Walk,Nature,Friendly,Introverted,Listen,Withdraw,"GED completed,Vocational/trade school applying",,"Resources,Mental Health",Homeless,None,None,,Important,Bisexual,Male,Other,34.0733,-84.2811
Christopher Mayhugh,Christopher,Mayhugh,1940 Washington Rd,Thomson,Georgia,30824,7,,,,,,,,,,,,,,,,,,,,,,,,,,Male,33.4672,-82.4994
Christy Marini,Christy,Marini,6548 Hwy 92,Acworth,Georgia,30102,13,5/26/1993,28,Mixed Race,Judaism,Unimportant,None,None,None,,Home,Nature,Adventurous,Extraverted,Advice,React,"HS diploma completed,Vocational/trade school attending",,"Social,Holidays,Legal,Parenting,Resources",Program,Arrested,"Caring for multiple,Multiple in kincare",,None,Homosexual,Female,Other,34.0628,-84.67
Clarence Penton,Clarence,Penton,180 Pooler Pkwy,Pooler,Georgia,31322,12,,,,,,,,,,,,,,,,,,,,,,,,,,Male,32.1047,-81.2533
Connie Judge,Connie,Judge,4300 Paces Ferry Rd SE #107,Atlanta,Georgia,30339,13,1/20/1993,29,Black/African American,Other,Inclusive,Irresponsibly,Occasionally,"Occasional marijuana,Regular cigarettes,Regular vape",checked,Movie/Play,Event,Reserved,Introverted,Advice,Withdraw,"GED completed,College applying",,"Budgeting,Medical",Independent,None,None,,None,Bisexual,Female,Other,33.7485,-84.3915
Cornelius Berger,Cornelius,Berger,4215 Jimmy Lee Smith Pkwy #23,Hiram,Georgia,30141,3,3/23/1993,28,,Hinduism,Exclusive,Irresponsibly,Regularly,None,checked,Shop,None,Adventurous,Introverted,Advice,Withdraw,HS diploma completed,,Job,Program,"Arrested,Current Probation",None,,Difficult,Homosexual,Other,Male,33.8778,-84.7615
Craig Foust,Craig,Foust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,
Crystal Hanson,Crystal,Hanson,1945 Rockbridge Rd SW,Stone Mountain,Georgia,30087,14,,,,,,,,,,,,,,,,,,,,,,,,,,Female,33.8053,-84.1714
Dale Johnson,Dale,Johnson,4836 Highway 129N,Jefferson,Georgia,30549,5,1/22/1993,29,White,Hinduism,Exclusive,Irresponsibly,Regularly,"Regular marijuana,Regular cigarettes,Regular vape",,Home,New,Adventurous,Both,Advice,Process,GED in progress,,"Budgeting,Resources,Legal,Job",Couch_Hopping,None,None,,Important,Homosexual,Female,Other,34.1175,-83.5734
Dan Maxwell,Dan,Maxwell,240 W Ponce de Leon Ave,Decatur,Georgia,30030,14,1/21/1993,29,,Christianity,Unimportant,Occasionally,Regularly,"Regular marijuana,Occasional cigarettes,Occasional vape",checked,Friends/Family,New,Friendly,Extraverted,Self_Reliant,Withdraw,"HS diploma completed,Vocational/trade school applying",,"Social,Holidays,Legal,Budgeting,Medical,Parenting",Program,None,None,,None,Homosexual,Other,Female,33.7714,-84.2978
Danielle Johnson,Danielle,Johnson,9 E Washington St,Newnan,Georgia,30263,4,,,,,,,,,,,,,,,,,,,,,,,,,,Female,33.3764,-84.7886
Darla Webb,Darla,Webb,1008 Oglesby Blvd Ext,Elberton,Georgia,30635,5,7/30/1993,28,,Hinduism,Inclusive,Irresponsibly,Regularly,None,,Read/Walk,Pampered,Shy,Introverted,Listen,Process,"HS diploma completed,College applying",,"Mental Health,Legal",Homeless,Current Probation,None,,Difficult,Homosexual,Other,Female,34.1099,-82.8681
Darline Gilbert,Darline,Gilbert,3116 Washington Rd,Augusta,Georgia,30909,7,11/2/1992,29,Black/African American,Spiritual,Unimportant,Irresponsibly,Addicted,Occasional marijuana,,Movie/Play,Event,Adventurous,Both,Self_Reliant,Withdraw,GED in progress,,Medical,Program,None,None,,Difficult,Homosexual,Male,Other,33.4667,-81.9667
Darrell Thompson,Darrell,Thompson,9 Mill Creek Cir B,Pooler,Georgia,31322,12,,,,,,,,,,,,,,,,,,,,,,,,,,Male,32.1047,-81.2533
David Alford,David,Alford,1113 Floyd St NE,Covington,Georgia,30014,5,4/8/1993,28,Hispanic/Latino (non_white),Hinduism,Unimportant,Addicted,None,None,checked,Shop,Nature,Shy,Both,Self_Reliant,Process,HS diploma in progress,,"Social,Job,Resources,Parenting,Medical",Friend/Family,None,None,,Important,Homosexual,Male,Male,33.6,-83.8667
David Kessler,David,Kessler,3742 US_17,Richmond Hill,Georgia,31324,12,,,,,,,,,,,,,,,,,,,,,,,,,,Male,31.9381,-81.3136
David McCartney,David,McCartney,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,
David Tucker,David,Tucker,621 Elbert St,Elberton,Georgia,30635,5,2/17/1993,28,,Judaism,Inclusive,Occasionally,Occasionally,"Occasional marijuana,Occasional cigarettes",,Movie/Play,New,Friendly,Introverted,Self_Reliant,Reconcile,"HS diploma completed,College degree",,"Holidays,Parenting,Resources,Mental Health,Medical",College,None,None,,None,Heterosexual,Other,Female,34.1099,-82.8681
Deana Kelly,Deana,Kelly,108 E Jackson St,Thomasville,Georgia,31792,10,,,,,,,,,,,,,,,,,,,,,,,,,,Female,30.8364,-83.9783
Deborah Hyden,Deborah,Hyden,7380 Spout Springs Rd #430,Flowery Branch,Georgia,30542,2,4/8/1993,28,Black/African American,Other,Exclusive,Responsibly,Occasionally,None,,Shop,Nature,Shy,Extraverted,Advice,Process,GED completed,,Holidays,Friend/Family,None,"Caring for multiple,Multiple in kincare",,Important,Bisexual,Male,Other,34.1858,-83.9244
Deborah Robertson,Deborah,Robertson,129 Main St,LaGrange,Georgia,30240,4,8/19/1993,28,Unknown,None,Unimportant,Addicted,Regularly,None,checked,Movie/Play,Event,Reserved,Both,Listen,Reconcile,None,,"Social,Budgeting,Holidays,Parenting",Homeless,None,None,,Difficult,Homosexual,Female,Other,33.0367,-85.0319
Deborah Toner,Deborah,Toner,997 Sunset Blvd,Jesup,Georgia,31545,9,9/4/1993,28,Asian,Hinduism,Inclusive,Irresponsibly,Regularly,None,,Movie/Play,New,Friendly,Introverted,Advice,Reconcile,"HS diploma in progress,College attending",,"Legal,Holidays,Job,Social,Medical,Budgeting",Homeless,Arrested,None,,Important,Homosexual,Other,Male,31.6019,-81.885
Debra Adrian,Debra,Adrian,1307 N Ashley St,Valdosta,Georgia,31601,11,,,,,,,,,,,,,,,,,,,,,,,,,,Female,30.8467,-83.2831
Debra Brown,Debra,Brown,1200 N Peachtree Pkwy,Peachtree City,Georgia,30269,4,,,,,,,,,,,,,,,,,,,,,,,,,,Female,33.399,-84.5706
Delois Baxter,Delois,Baxter,2448 Coffman Alley,Atlanta,Georgia,,14,12/4/1992,29,,None,Exclusive,None,Regularly,"Occasional marijuana,Occasional cigarettes,Regular vape",,Movie/Play,Event,Solitary,Introverted,Listen,Withdraw,"HS diploma in progress,College degree",,"Holidays,Resources,Mental Health,Parenting",Independent,Arrested,None,,Difficult,Homosexual,Other,Other,33.7485,-84.3915
Dennis Houseman,Dennis,Houseman,720 Adel Hwy,Nashville,Georgia,31639,11,,,,,,,,,,,,,,,,,,,,,,,,,,Male,31.2069,-83.2467
Derrick Teasley,Derrick,Teasley,7450 Douglas Blvd,Douglasville,Georgia,30135,3,5/21/1993,28,,Hinduism,Inclusive,Occasionally,Addicted,"Occasional marijuana,Regular cigarettes",checked,Shop,Nature,Reserved,Extraverted,Listen,Reconcile,HS diploma completed,,"Mental Health,Legal,Job,Parenting,Social,Resources,Holidays",Independent,None,None,,Difficult,Homosexual,Female,Female,33.7522,-84.7407
Diana Hillis,Diana,Hillis,106 W 9th St,Alma,Georgia,31510,11,3/17/1993,28,White,None,Unimportant,Occasionally,Regularly,None,checked,Read/Walk,Nature,Friendly,Introverted,Self_Reliant,Reconcile,GED completed,,"Budgeting,Holidays,Resources",Program,None,None,,Difficult,Heterosexual,Other,Female,31.5417,-82.4667
Dianne Sims,Dianne,Sims,17549 Highland Ave N,Arlington,Georgia,39813,10,6/19/1993,28,Black/African American,Spiritual,Exclusive,Irresponsibly,Regularly,None,,Home,Event,Reserved,Extraverted,Listen,React,HS diploma in progress,,"Mental Health,Social",Couch_Hopping,None,None,,None,Bisexual,Female,Other,31.4394,-84.7247
Dolores Smiley,Dolores,Smiley,249 Ivan Allen Jr Blvd NW,Atlanta,Georgia,30313,14,7/11/1993,28,Black/African American,None,Exclusive,Irresponsibly,None,None,,Shop,None,Solitary,Extraverted,Advice,Withdraw,"GED in progress,Vocational/trade school certified",,"Budgeting,Social,Medical",Couch_Hopping,"Arrested,Current Probation",None,,Important,Homosexual,Other,Other,33.7485,-84.3915
Donna Peterson,Donna,Peterson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,
Donna Skow,Donna,Skow,3195 E 1st St,Vidalia,Georgia,30474,9,,,,,,,,,,,,,,,,,,,,,,,,,,Female,32.2153,-82.41
Doreen Ahmed,Doreen,Ahmed,1531 Baytree Rd,Valdosta,Georgia,31601,11,,,,,,,,,,,,,,,,,,,,,,,,,,Female,30.8467,-83.2831
Doreen Parker,Doreen,Parker,4550 Jonesboro Rd Suite C,Union City,Georgia,30291,14,,,,,,,,,,,,,,,,,,,,,,,,,,Female,33.5783,-84.5433
Doris Davis,Doris,Davis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Female,,
Dorothy Fischer,Dorothy,Fischer,2842 Panola Rd,Lithonia,Georgia,30058,14,9/19/1992,29,,Christianity,Inclusive,Addicted,Addicted,None,checked,Read/Walk,New,Adventurous,Introverted,Self_Reliant,Withdraw,GED completed,,"Budgeting,Social,Holidays,Medical,Resources",Couch_Hopping,None,None,,None,Homosexual,Male,Female,33.7121,-84.1058
Dorothy Hight,Dorothy,Hight,288 Shorter Ave NW,Rome,Georgia,30165,3,,,,,,,,,,,,,,,,,,,,,,,,,,Female,34.2605,-85.1806
Dorthy Pimentel,Dorthy,Pimentel,2905 Stonecrest Cir,Lithonia,Georgia,30038,14,3/28/1993,28,,None,Unimportant,Irresponsibly,Occasionally,None,,Movie/Play,None,Reserved,Both,Advice,React,"GED completed,Vocational/trade school certified",,"Budgeting,Legal,Holidays,Medical,Job",Friend/Family,"Arrested,Current Probation",None,,Difficult,Homosexual,Male,Other,33.7121,-84.1058
Eddie Davis,Eddie,Davis,1305 E Lamar St,Americus,Georgia,31709,8,9/27/1992,29,Mixed Race,Spiritual,Exclusive,Responsibly,Occasionally,Occasional marijuana,checked,Shop,Nature,Friendly,Both,Self_Reliant,Reconcile,GED completed,,"Parenting,Holidays,Resources,Medical,Social,Mental Health,Job",Couch_Hopping,"Jail,Current Probation",None,,Important,Bisexual,Female,Female,32.0753,-84.2267
Edgar Knutson,Edgar,Knutson,4310 Augusta Rd,Garden City,Georgia,31408,12,5/29/1993,28,Hispanic/Latino (non_white),Other,Exclusive,Occasionally,Regularly,None,,Shop,None,Shy,Extraverted,Listen,Withdraw,"HS diploma in progress,Vocational/trade school attending",,"Resources,Parenting,Mental Health",Couch_Hopping,None,None,,Difficult,Homosexual,Female,Other,32.1003,-81.165
Edward Krauss,Edward,Krauss,2707 W Lanier Ave Unit 8,Peachtree City,Georgia,30269,4,,,,,,,,,,,,,,,,,,,,,,,,,,Male,33.399,-84.5706
Edward Trevino,Edward,Trevino,5939 Joe Frank Harris Pkwy NW ste b,Adairsville,Georgia,30103,3,10/2/1992,29,,Islam,Inclusive,Responsibly,Addicted,None,,Friends/Family,New,Solitary,Both,Advice,Process,HS diploma completed,,"Resources,Job,Mental Health,Parenting,Legal",Independent,"Current Probation,Jail",None,,Difficult,Bisexual,Male,Other,34.3698,-84.9277
Edwardo Villela,Edwardo,Villela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,
Elaine Simpson,Elaine,Simpson,1160 Ernest W Barrett Pkwy NW,Kennesaw,Georgia,30144,13,6/9/1993,28,Black/African American,Islam,Exclusive,Responsibly,Occasionally,"Regular marijuana,Occasional cigarettes",checked,Friends/Family,Pampered,Solitary,Introverted,Listen,Reconcile,HS diploma in progress,,"Mental Health,Legal",Friend/Family,None,None,,None,Bisexual,Other,Other,34.0233,-84.6153
Eleanor Bell,Eleanor,Bell,5900 Spout Springs Rd,Flowery Branch,Georgia,30542,2,10/1/1992,29,Black/African American,Spiritual,Unimportant,None,Occasionally,Regular marijuana,checked,Home,Nature,Shy,Extraverted,Self_Reliant,Reconcile,HS diploma in progress,,"Budgeting,Mental Health,Holidays,Resources,Medical,Job",Program,None,None,,Difficult,Bisexual,Other,Male,34.1858,-83.9244
Eleanor Schmidt,Eleanor,Schmidt,1030 Old Peachtree Rd NW #208,Lawrenceville,Georgia,30043,13,9/27/1992,29,White,Hinduism,Unimportant,None,Addicted,"Occasional marijuana,Regular cigarettes",checked,Movie/Play,Pampered,Reserved,Both,Listen,React,"GED in progress,College applying",,"Holidays,Resources,Parenting,Job,Social",Homeless,None,None,,Important,Bisexual,Other,Other,33.9531,-83.9925
Elizabeth Guerra,Elizabeth,Guerra,2480 Limestone Pkwy,Gainesville,Georgia,30501,2,3/19/1993,28,,Other,Exclusive,Irresponsibly,None,None,checked,Home,Pampered,Solitary,Both,Advice,Reconcile,HS diploma in progress,,"Budgeting,Legal,Resources,Social,Mental Health",College,None,None,,Difficult,Homosexual,Male,Male,34.3044,-83.8339
Eric Woods,Eric,Woods,1330 Boone Avenue Ext,Kingsland,Georgia,31548,12,8/22/1993,28,Black/African American,Islam,Exclusive,Irresponsibly,None,None,,Home,Event,Friendly,Both,Self_Reliant,Process,"GED in progress,Vocational/trade school attending",,"Parenting,Job,Medical",Independent,None,None,,Important,Homosexual,Male,Female,30.7947,-81.6717
Erik Moorefield,Erik,Moorefield,1424 Sam Nunn Blvd,Perry,Georgia,31069,6,,,,,,,,,,,,,,,,,,,,,,,,,,Male,32.4594,-83.7325
Erin Prange,Erin,Prange,3488 US_17,Richmond Hill,Georgia,31324,12,,,,,,,,,,,,,,,,,,,,,,,,,,Female,31.9381,-81.3136
Evelyn Burge,Evelyn,Burge,1950 Satellite Blvd,Duluth,Georgia,30097,13,4/26/1993,28,,Judaism,Unimportant,Addicted,Addicted,"Occasional marijuana,Occasional cigarettes,Regular vape",checked,Friends/Family,Pampered,Adventurous,Both,Self_Reliant,React,"GED in progress,College degree",,"Job,Social,Resources,Budgeting,Legal",Couch_Hopping,"Jail,Arrested",None,,None,Bisexual,Other,Other,34.0031,-84.1456
Fernando Lopes,Fernando,Lopes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Male,,
